,id_pool,id_strain,pct_reads,has_assembly
0,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271250_8_S8,0.02844014724394344,True
1,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271258_16_S16,0.006793743835039563,True
2,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271266_24_S24,0.00019886786070623063,True
3,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271274_32_S32,0.0016106934608569707,True
4,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271282_40_S40,0.028415175252302246,True
5,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271290_48_S48,0.002957364864634779,True
6,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271297_55_S55,0.0279111950573618,True
7,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271298_56_S56,0.0005920632200021112,True
8,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271305_63_S63,0.01046803187788242,True
9,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271306_64_S64,0.001262674704621067,True
10,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271313_71_S71,0.02808917725233176,True
11,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271321_79_S79,0.028483053665945127,True
12,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271329_87_S87,0.00220321071707074,True
13,LIB060784_GEN00271346_104_S104,LIB060784_GEN00271337_95_S95,0.0018949201293549168,True
0,LIB060784_GEN00271354_112_S112,LIB060784_GEN00271314_72_S72,0.00477496132444977,True
1,LIB060784_GEN00271354_112_S112,LIB060784_GEN00271322_80_S80,0.03351505546347007,True
2,LIB060784_GEN00271354_112_S112,LIB060784_GEN00271330_88_S88,0.017522856245971188,True
3,LIB060784_GEN00271354_112_S112,LIB060784_GEN00271338_96_S96,0.020374401004512273,True
4,LIB060784_GEN00271354_112_S112,LIB060784_GEN00271339_97_S97,0.03868362645422513,True
